hasoc_german_1	"RT @wokeup777: 'Nacktschneckengame': Eine der Aufgaben: 100 Versch. Begriffe für Geschlechtsorgane zu sammeln. In einem Workshop ab 8 (!) lernen Kinder ihren eigenen Tanzstil, bei dem es um bizarre u extrem sexualisierte Posen geht. Unsere Steuern ermöglichen diesen kranken Bullshit. https://t.co/SYPtpWebRw"	HOF	PRFN
hasoc_german_2	RT @AndreasStraub: Sprenggläubiger Surensohn!😳☪️ https://t.co/5uLdyZMNDv	HOF	OFFN
hasoc_german_3	"Macron, verrecke endlich! https://t.co/zQWLvLd3BV"	HOF	OFFN
hasoc_german_4	"Das sind deutsche Schüler? Doof wie Toastbrot! Das gibt's doch nicht, gibt's da ein Schulfach was naivität heisst? https://t.co/oCAOKu7gkj"	HOF	PRFN
hasoc_german_5	Du meine Güte! Die strunzdoof und der andere sturzbesoffen....  Na wenn schee macht.... https://t.co/tnJ28M3aUy	HOF	PRFN
hasoc_german_6	Macron du Drecksau! Dafür wirst du noch bezahlen! https://t.co/12w930L9oA	HOF	OFFN
hasoc_german_7	"Ich will ja nivht viel sagen  , aber Blödheit hat einen Namen  Widmann-Mauz die hat den  Schuss  noch nicht gehört sooo doof kann  doch kein Mensch  sein https://t.co/ODLIUIhBRt"	HOF	OFFN
hasoc_german_8	dreckige linke Zecken https://t.co/vy6v9Ttknh	HOF	HATE
hasoc_german_9	RT @AusKalte: Österreich: Böhmermann-Eklat - Wiener  Anwaltskanzlei zeigt Satiriker wegen Herabwürdigung des österreichischen Staates an!  https://t.co/FjKy9gtLDS	NOT	None
hasoc_german_10	"RT @JungereCato: Maaßen: Islamisten dürfen in Deutschland das machen, was sie in arabischen Staaten nicht machen dürfen https://t.co/tFtw3He0OG via @China_Welt_News"	NOT	None
hasoc_german_11	Alle rein und keiner raus? https://t.co/9iNmJlTZF7	NOT	None
hasoc_german_12	1000% https://t.co/S03kWyOkBb	NOT	None
hasoc_german_13	RT @MamamiaPetra: ++ Eilmeldung ++ Hausverbot der Stadt München unwirksam ++ AfD hat sich gerichtlich durchgesetzt! ++ die Stadt trägt die Kosten des Verfahrens in Höhe von 20.000 € ++	NOT	None
hasoc_german_14	RT @vickersHV10: ♨️ #France Acte 25 ♨️    In Toulouse werden friedliche #YelloVest einfach aus Spaß niedergeknüppelt .    #Macron #GiletsJaunes #Diktatur #Söldner https://t.co/QlkFD7GveG	NOT	None
hasoc_german_15	"RT @ShakRiet: In Bad Godesberg überlebte  2016 ein 17jähriger Bub die Begegnung mit einer „Männergruppe“ nicht. Trotz DNA-Beweisspuren wurden die Untersuchungen nun abgebrochen.    Eine Mutter weint, und ein Staatsanwalt macht im Laschet-Kalifat NRW wohl noch Karriere.  https://t.co/4K9f4PF8Ns"	NOT	None
hasoc_german_16	"RT @Kittypunk7: Ich alter Mann stand nach der Arbeit an der Bushaltestelle, umgeben von 20 Jugendlichen aus aller Welt, niemand sprach deutsch, Drogen wurden gedealt, dann haben sie noch gestritten und sich weggeboxt. 2 Meter von mir. Das neue Deutschland. Will ich das? Ist das unser Modell?"	NOT	None
hasoc_german_17	"RT @prdgrmn: 'Habt ihr keine Bedenken, dass es hier dann auch solche Zustände wie in islamischen Ländern kommt?'    'Nein! Keine Ahnung, die würden das glaub ich nicht tun.'     Mein Gott das kann doch nicht mehr wahr sein https://t.co/41GMcGS3ol"	NOT	None
hasoc_german_18	"RT @IIIoritz: @JoachimFriede4 @AfD @IBDeutschland Ja, habe mich informiert. Von Steuergeldern!"	NOT	None
hasoc_german_19	"RT @Louiecrit: 3c bereitet sich auf ihr Theaterstück „Pippi Langstrumpf in der Schule“ vor. Aus rein pädagog. Gründen besetzte ich die Hauptrollen mit 3 sehr schüchternen Schülern.Ein Riesenschritt für die drei, dass Sie sich das zutrauen. Grundschulleitung lehnt Besetzung ab: Alles dt. Kinder"	NOT	None
hasoc_german_20	RT @Michael_s_back: Den wichtigsten Posten habt ihr vergessen @BILD: wir müssen das Alimentieren der Illegalen stoppen. Sofort. Allein das bringt 50 Mrd. € pro Jahr. Nicht wahr Herr ⁦@OlafScholz⁩ ?  https://t.co/l6SFBbf0mn	NOT	None
hasoc_german_21	"RT @JotDora: Zu aller erst: ich als steuerzahlender Bürger dieses Landes und GF eines ertragreichen Unternehmens verlange (und das ist nicht diskutabel)  dass alle Zahlungen an Flüchtlinge eingestellt werden, die gar keine sind.   https://t.co/UHUAzpK9Uz"	NOT	None
hasoc_german_22	"RT @masyaf_sy: Hatte heute an der Bahn-Haltestelle eine unangenehme Begegnung mit einem anderen Araber, der mich zur Rede stellen wollte, warum ich während Ramadan tagsüber ein Brötchen esse.   Und ich hasse es, 'Bruder' genannt zu werden."	NOT	None
hasoc_german_23	"RT @Der__Patriot: So sieht der Dschihad gegen Musikinstrumente aus.    Die Musik, jegliche Art, ist haram im Islam. https://t.co/I6XawtnPjl"	NOT	None
hasoc_german_24	RT @schweizok2: München:   Gutmenschin und Schauspielerin in der Lindenstraße Claudia Pielmann wurde von Frau mit gebrochenem Deutsch in U-Bahn verletzt.  https://t.co/soC5ynnoju	NOT	None
hasoc_german_25	"RT @pinkcrazypony: #Klimanotstand in #Konstanz 😉    Auf welchen BILD seht Ihr #Konstanz ?   Zur weiteren Auswahl stehen Afrika,China und Indien.    #FridayForFuture #GretaThunberg #Grünen #Klimawandel https://t.co/mZczXkdz3Z"	NOT	None
hasoc_german_26	RT @Walter29340877: @DarkGermany @ChristianDrerup @Lebensformation Das könnte schneller gehen...!    #abmerkeln https://t.co/jfaU50WfD0	NOT	None
hasoc_german_27	RT @Findthe29181576: #Kindesmissbrauch   Polizei sucht Unbekannten!  https://t.co/PyJGguvHWx	NOT	None
hasoc_german_28	RT @Hartes_Geld: Geschafft!  Neue #Migranten (überwiegend Frauen und Kinder) aus Afrika treffen in #Griechenland ein. Ihre Freude über den europäischen Sozialstaat ist grenzenlos.  Wem geht bei solchen Bildern nicht das Herz auf?  Bossa! https://t.co/Akzi7CigGh	NOT	None
hasoc_german_29	"RT @VerumGermania: Obwohl alle anderen Parteien regelmäßig Steilvorlagen geben stagniert die AfD in Umfragen. Das muss sie kritisch und schonungslos hinterfragen. Was macht sie falsch? Meiner Meinung nach müsste sie bei über 20% sein. Das ist schade, weil Deutschland nicht mehr viel Zeit bleibt."	NOT	None
